Time,Target,EffTarget,Current,Mode,SafeState,k_used,c_used,vmax_s,ErrToDoctor,ErrToEff
2025-10-09 19:55:15,5.00,5.00,3.15,normal,IDLE,0.050,0.400,-1.00,2.19,2.19
2025-10-09 19:55:16,5.00,5.00,5.83,normal,IDLE,0.150,0.400,-1.00,0.45,0.45
2025-10-09 19:55:16,5.00,5.00,3.44,normal,IDLE,0.050,0.400,-1.00,1.85,1.85
2025-10-09 19:55:16,5.00,5.00,5.95,normal,IDLE,0.140,0.400,-1.00,0.83,0.83
2025-10-09 19:55:16,5.00,5.00,3.70,normal,IDLE,0.050,0.400,-1.00,1.56,1.56
2025-10-09 19:55:16,5.00,5.00,5.89,normal,IDLE,0.130,0.400,-1.00,0.95,0.95
2025-10-09 19:55:16,10.00,10.00,4.23,normal,IDLE,0.060,0.400,-1.00,6.30,6.30
2025-10-09 19:55:16,10.00,10.00,6.39,normal,IDLE,0.130,0.400,-1.00,4.11,4.11
2025-10-09 19:55:16,10.00,10.00,4.95,normal,IDLE,0.070,0.400,-1.00,5.77,5.77
2025-10-09 19:55:16,10.00,10.00,7.16,normal,IDLE,0.130,0.400,-1.00,3.61,3.61
2025-10-09 19:55:16,10.00,10.00,5.79,normal,IDLE,0.080,0.400,-1.00,5.05,5.05
2025-10-09 19:55:16,10.00,10.00,7.99,normal,IDLE,0.130,0.400,-1.00,2.84,2.84
2025-10-09 19:55:16,10.00,10.00,6.63,normal,IDLE,0.080,0.400,-1.00,4.21,4.21
2025-10-09 19:55:16,10.00,10.00,8.75,normal,IDLE,0.130,0.400,-1.00,2.01,2.01
2025-10-09 19:55:16,10.00,10.00,7.40,normal,IDLE,0.080,0.400,-1.00,3.37,3.37
2025-10-09 19:55:16,10.00,10.00,9.37,normal,IDLE,0.130,0.400,-1.00,1.25,1.25
2025-10-09 19:55:16,10.00,10.00,8.07,normal,IDLE,0.080,0.400,-1.00,2.60,2.60
2025-10-09 19:55:16,10.00,10.00,9.82,normal,IDLE,0.120,0.400,-1.00,0.63,0.63
2025-10-09 19:55:16,10.00,10.00,8.63,normal,IDLE,0.080,0.400,-1.00,1.93,1.93
2025-10-09 19:55:16,10.00,10.00,10.10,normal,IDLE,0.110,0.400,-1.00,0.18,0.18
2025-10-09 19:55:16,10.00,10.00,9.07,normal,IDLE,0.080,0.400,-1.00,1.37,1.37
2025-10-09 19:55:17,10.00,10.00,10.27,normal,IDLE,0.100,0.400,-1.00,0.10,0.10
2025-10-09 19:55:17,10.00,10.00,9.41,normal,IDLE,0.070,0.400,-1.00,0.93,0.93
2025-10-09 19:55:17,10.00,10.00,10.34,normal,IDLE,0.090,0.400,-1.00,0.27,0.27
2025-10-09 19:55:17,10.00,10.00,9.64,normal,IDLE,0.060,0.400,-1.00,0.59,0.59
2025-10-09 19:55:17,10.00,10.00,10.36,normal,IDLE,0.080,0.400,-1.00,0.34,0.34
2025-10-09 19:55:17,10.00,10.00,9.80,normal,IDLE,0.050,0.400,-1.00,0.36,0.36
2025-10-09 19:55:17,15.00,15.00,10.74,normal,IDLE,0.080,0.400,-1.00,4.64,4.64
2025-10-09 19:55:17,15.00,15.00,10.21,normal,IDLE,0.060,0.400,-1.00,5.20,5.20
2025-10-09 19:55:17,15.00,15.00,11.31,normal,IDLE,0.080,0.400,-1.00,4.26,4.26
2025-10-09 19:55:17,15.00,15.00,10.74,normal,IDLE,0.060,0.400,-1.00,4.79,4.79
2025-10-09 19:55:17,15.00,15.00,11.95,normal,IDLE,0.080,0.400,-1.00,3.69,3.69
2025-10-09 19:55:17,15.00,15.00,11.31,normal,IDLE,0.060,0.400,-1.00,4.26,4.26
2025-10-09 19:55:17,15.00,15.00,12.57,normal,IDLE,0.080,0.400,-1.00,3.05,3.05
2025-10-09 19:55:17,15.00,15.00,11.88,normal,IDLE,0.060,0.400,-1.00,3.69,3.69
2025-10-09 19:55:17,15.00,15.00,13.14,normal,IDLE,0.080,0.400,-1.00,2.43,2.43
2025-10-09 19:55:17,15.00,15.00,12.41,normal,IDLE,0.060,0.400,-1.00,3.12,3.12
2025-10-09 19:55:17,15.00,15.00,13.63,normal,IDLE,0.080,0.400,-1.00,1.86,1.86
2025-10-09 19:55:17,15.00,15.00,12.88,normal,IDLE,0.060,0.400,-1.00,2.59,2.59
2025-10-09 19:55:17,15.00,15.00,14.04,normal,IDLE,0.080,0.400,-1.00,1.37,1.37
2025-10-09 19:55:17,15.00,15.00,13.29,normal,IDLE,0.060,0.400,-1.00,2.12,2.12
2025-10-09 19:55:18,15.00,15.00,14.35,normal,IDLE,0.070,0.400,-1.00,0.96,0.96
2025-10-09 19:55:18,15.00,15.00,13.64,normal,IDLE,0.060,0.400,-1.00,1.71,1.71
2025-10-09 19:55:18,15.00,15.00,14.57,normal,IDLE,0.060,0.400,-1.00,0.65,0.65
2025-10-09 19:55:18,15.00,15.00,13.93,normal,IDLE,0.060,0.400,-1.00,1.36,1.36
2025-10-09 19:55:18,15.00,15.00,14.73,normal,IDLE,0.050,0.400,-1.00,0.43,0.43
2025-10-09 19:55:18,15.00,15.00,14.17,normal,IDLE,0.060,0.400,-1.00,1.07,1.07
2025-10-09 19:55:18,20.00,20.00,15.14,normal,IDLE,0.060,0.400,-1.00,5.27,5.27
2025-10-09 19:55:18,20.00,20.00,14.72,normal,IDLE,0.070,0.400,-1.00,5.83,5.83
2025-10-09 19:55:18,20.00,20.00,15.68,normal,IDLE,0.060,0.400,-1.00,4.86,4.86
2025-10-09 19:55:18,20.00,20.00,15.47,normal,IDLE,0.080,0.400,-1.00,5.28,5.28
